0,1,2,3,4,q_id,web_list
107,1531,1699,1697,1926,54,"[107, 1531, 1699, 1697, 1926]"
511,1809,1858,1867,1859,55,"[511, 1809, 1858, 1867, 1859]"
1587,1904,1627,1905,1527,56,"[1587, 1904, 1627, 1905, 1527]"
511,1809,455,1858,1867,57,"[511, 1809, 455, 1858, 1867]"
1930,1697,1696,706,120,58,"[1930, 1697, 1696, 706, 120]"
1121,1886,1113,1068,7,59,"[1121, 1886, 1113, 1068, 7]"
1936,1127,1926,439,1272,60,"[1936, 1127, 1926, 439, 1272]"
511,1809,1858,1867,1859,61,"[511, 1809, 1858, 1867, 1859]"
1924,478,1765,1777,1763,62,"[1924, 478, 1765, 1777, 1763]"
1071,868,1197,1748,1555,63,"[1071, 868, 1197, 1748, 1555]"
1567,1618,1532,1545,1528,64,"[1567, 1618, 1532, 1545, 1528]"
1567,995,1466,534,259,65,"[1567, 995, 1466, 534, 259]"
1765,1777,1763,1766,1802,66,"[1765, 1777, 1763, 1766, 1802]"
1626,739,1030,1916,1024,67,"[1626, 739, 1030, 1916, 1024]"
637,651,666,654,663,68,"[637, 651, 666, 654, 663]"
1580,1584,1915,286,736,69,"[1580, 1584, 1915, 286, 736]"
1608,1567,1894,1884,1896,70,"[1608, 1567, 1894, 1884, 1896]"
1534,1676,1771,409,866,71,"[1534, 1676, 1771, 409, 866]"
1700,1904,1232,1315,96,72,"[1700, 1904, 1232, 1315, 96]"
1855,1846,237,1002,1003,73,"[1855, 1846, 237, 1002, 1003]"
530,1914,1574,602,1612,74,"[530, 1914, 1574, 602, 1612]"
1587,1627,1904,43,1886,75,"[1587, 1627, 1904, 43, 1886]"
1618,1193,505,886,1598,76,"[1618, 1193, 505, 886, 1598]"
823,347,1584,286,1917,77,"[823, 347, 1584, 286, 1917]"
116,1884,692,1662,1028,78,"[116, 1884, 692, 1662, 1028]"
1914,1612,602,823,1574,79,"[1914, 1612, 602, 823, 1574]"
114,1307,903,599,438,80,"[114, 1307, 903, 599, 438]"
1926,1177,1608,1931,445,81,"[1926, 1177, 1608, 1931, 445]"
1915,1249,1417,598,1498,82,"[1915, 1249, 1417, 598, 1498]"
1697,862,368,1675,1696,83,"[1697, 862, 368, 1675, 1696]"
368,862,900,1581,467,84,"[368, 862, 900, 1581, 467]"
570,1620,531,1043,1508,85,"[570, 1620, 531, 1043, 1508]"
1615,1586,1556,1538,1608,86,"[1615, 1586, 1556, 1538, 1608]"
1742,1564,1489,1534,1554,87,"[1742, 1564, 1489, 1534, 1554]"
1567,1608,1618,1607,372,88,"[1567, 1608, 1618, 1607, 372]"
1900,1543,1581,1916,900,89,"[1900, 1543, 1581, 1916, 900]"
1449,1676,884,1675,692,90,"[1449, 1676, 884, 1675, 692]"
1556,1713,1538,321,1586,91,"[1556, 1713, 1538, 321, 1586]"
1567,114,16,372,1611,92,"[1567, 114, 16, 372, 1611]"
677,1932,1891,1334,788,93,"[677, 1932, 1891, 1334, 788]"
16,116,60,1724,1040,94,"[16, 116, 60, 1724, 1040]"
1618,1207,1646,37,1567,95,"[1618, 1207, 1646, 37, 1567]"
1894,123,852,886,1749,96,"[1894, 123, 852, 886, 1749]"
1863,1290,90,398,1861,97,"[1863, 1290, 90, 398, 1861]"
1916,368,1072,326,219,98,"[1916, 368, 1072, 326, 219]"
745,704,1734,846,706,99,"[745, 704, 1734, 846, 706]"
1567,114,321,1615,1071,100,"[1567, 114, 321, 1615, 1071]"
